Spins,Final Bankroll,P&L,Win Rate,Max Drawdown,Sharpe,Max Losing Streak
722,0,-1000,46.54,1060,-0.07,10
1000,920,-80,49.8,800,-0.0,12
1000,200,-800,48.0,1080,-0.04,9
866,0,-1000,47.11,1220,-0.06,8
1000,480,-520,48.7,940,-0.03,13
516,0,-1000,45.16,1140,-0.1,10
998,0,-1000,47.49,1240,-0.05,11
796,0,-1000,46.86,1020,-0.06,9
1000,240,-760,48.1,1280,-0.04,10
404,0,-1000,43.81,980,-0.12,9
1000,640,-360,49.1,1140,-0.02,11
1000,360,-640,48.4,720,-0.03,13
206,0,-1000,37.86,1000,-0.25,11
1000,360,-640,48.4,1040,-0.03,10
572,0,-1000,45.63,980,-0.09,12
1000,600,-400,49.0,1220,-0.02,8
852,0,-1000,47.07,1300,-0.06,12
236,0,-1000,39.41,1060,-0.22,8
500,0,-1000,45.0,1100,-0.1,7
634,0,-1000,46.06,1020,-0.08,10
570,0,-1000,45.61,1060,-0.09,8
984,0,-1000,47.46,1100,-0.05,9
532,0,-1000,45.3,980,-0.09,8
566,0,-1000,45.58,1160,-0.09,7
748,0,-1000,46.66,1280,-0.07,11
1000,1360,360,50.9,820,0.02,10
796,0,-1000,46.86,1100,-0.06,9
432,0,-1000,44.21,980,-0.12,8
1000,400,-600,48.5,1000,-0.03,10
1000,160,-840,47.9,1040,-0.04,14
580,0,-1000,45.69,980,-0.09,15
970,0,-1000,47.42,1380,-0.05,8
502,0,-1000,45.02,1100,-0.1,12
640,0,-1000,46.09,1060,-0.08,10
736,0,-1000,46.6,980,-0.07,13
578,0,-1000,45.67,1020,-0.09,10
268,0,-1000,40.67,1060,-0.19,11
1000,520,-480,48.8,1060,-0.02,10
818,0,-1000,46.94,1040,-0.06,10
502,0,-1000,45.02,1040,-0.1,10
1000,920,-80,49.8,600,-0.0,7
1000,560,-440,48.9,680,-0.02,10
350,0,-1000,42.86,980,-0.14,8
604,0,-1000,45.86,1360,-0.08,11
864,0,-1000,47.11,1060,-0.06,13
434,0,-1000,44.24,1280,-0.12,10
526,0,-1000,45.25,1040,-0.1,16
1000,800,-200,49.5,940,-0.01,11
968,0,-1000,47.42,1260,-0.05,8
1000,1080,80,50.2,660,0.0,9
1000,40,-960,47.6,1120,-0.05,7
888,0,-1000,47.18,1160,-0.06,9
1000,320,-680,48.3,1200,-0.03,8
1000,320,-680,48.3,960,-0.03,8
1000,360,-640,48.4,920,-0.03,8
784,0,-1000,46.81,1160,-0.06,15
918,0,-1000,47.28,1080,-0.05,8
1000,320,-680,48.3,940,-0.03,9
950,0,-1000,47.37,1120,-0.05,11
568,0,-1000,45.6,1060,-0.09,9
482,0,-1000,44.81,1040,-0.1,10
922,0,-1000,47.29,1680,-0.05,9
226,0,-1000,38.94,1060,-0.23,7
454,0,-1000,44.49,1000,-0.11,8
520,0,-1000,45.19,1040,-0.1,7
1000,80,-920,47.7,1220,-0.05,11
800,0,-1000,46.88,1020,-0.06,8
376,0,-1000,43.35,1020,-0.13,8
248,0,-1000,39.92,1060,-0.21,9
676,0,-1000,46.3,1200,-0.07,10
178,0,-1000,35.96,980,-0.29,11
946,0,-1000,47.36,1020,-0.05,11
1000,560,-440,48.9,1060,-0.02,11
1000,920,-80,49.8,900,-0.0,10
746,0,-1000,46.65,1420,-0.07,8
506,0,-1000,45.06,1100,-0.1,9
516,0,-1000,45.16,1200,-0.1,8
1000,320,-680,48.3,720,-0.03,9
1000,440,-560,48.6,920,-0.03,9
614,0,-1000,45.93,1080,-0.08,15
720,0,-1000,46.53,1100,-0.07,7
666,0,-1000,46.25,1180,-0.08,9
332,0,-1000,42.47,1120,-0.15,7
458,0,-1000,44.54,1100,-0.11,12
946,0,-1000,47.36,1040,-0.05,11
514,0,-1000,45.14,1380,-0.1,13
588,0,-1000,45.75,1020,-0.09,8
688,0,-1000,46.37,1080,-0.07,9
526,0,-1000,45.25,1080,-0.1,8
1000,560,-440,48.9,620,-0.02,8
444,0,-1000,44.37,980,-0.11,12
978,0,-1000,47.44,1480,-0.05,9
1000,240,-760,48.1,1300,-0.04,10
568,0,-1000,45.6,980,-0.09,9
712,0,-1000,46.49,1000,-0.07,11
1000,720,-280,49.3,700,-0.01,9
1000,280,-720,48.2,1200,-0.04,10
1000,1080,80,50.2,720,0.0,8
464,0,-1000,44.61,980,-0.11,9
1000,320,-680,48.3,920,-0.03,11
