Spins,Final Bankroll,P&L,Win Rate,Max Drawdown,Sharpe,Max Losing Streak
25,0,-1000,36.0,1180,-0.27,7
202,0,-1000,44.06,1680,-0.04,7
1000,4320,3320,48.6,2680,0.03,8
47,0,-1000,42.55,1280,-0.17,6
15,0,-1000,26.67,1080,-0.44,6
7,0,-1000,14.29,1020,-0.89,6
23,0,-1000,26.09,1020,-0.29,6
63,0,-1000,47.62,1460,-0.14,6
30,0,-1000,26.67,1040,-0.24,6
204,0,-1000,46.57,1740,-0.04,7
41,0,-1000,41.46,1220,-0.17,7
84,0,-1000,44.05,1520,-0.1,7
357,0,-1000,47.34,2380,-0.03,8
124,0,-1000,46.77,1760,-0.08,7
185,0,-1000,47.57,1860,-0.04,6
50,0,-1000,48.0,1480,-0.15,7
246,0,-1000,48.37,2540,-0.04,8
330,0,-1000,47.58,1960,-0.03,7
1000,2640,1640,46.5,2440,0.01,8
60,0,-1000,53.33,1640,-0.15,8
185,0,-1000,46.49,1860,-0.04,6
23,0,-1000,39.13,1180,-0.32,7
18,0,-1000,33.33,1120,-0.39,6
242,0,-1000,48.35,2100,-0.03,7
43,0,-1000,58.14,1140,-0.22,6
319,0,-1000,47.02,2740,-0.03,8
768,0,-1000,46.74,4460,-0.01,9
92,0,-1000,44.57,1240,-0.11,6
110,0,-1000,48.18,1920,-0.07,8
106,0,-1000,43.4,1600,-0.08,6
30,0,-1000,40.0,1160,-0.28,6
582,0,-1000,48.45,4860,-0.01,9
96,0,-1000,46.88,1540,-0.08,6
663,0,-1000,51.73,3600,-0.01,9
6,0,-1000,0.0,980,-1.1,6
202,0,-1000,47.03,2120,-0.04,8
43,0,-1000,53.49,1460,-0.21,7
35,0,-1000,42.86,1300,-0.25,7
52,0,-1000,46.15,1340,-0.14,7
86,0,-1000,46.51,1460,-0.09,7
663,0,-1000,47.66,4780,-0.01,9
147,0,-1000,47.62,1980,-0.06,7
1000,5660,4660,49.2,1740,0.05,7
76,0,-1000,51.32,1720,-0.11,8
32,0,-1000,34.38,1220,-0.23,7
1000,3780,2780,50.8,4200,0.03,8
35,0,-1000,48.57,1340,-0.25,7
33,0,-1000,48.48,1200,-0.27,6
93,0,-1000,45.16,1640,-0.08,6
41,0,-1000,51.22,1200,-0.23,6
6,0,-1000,0.0,980,-1.1,6
34,0,-1000,38.24,1220,-0.19,6
900,0,-1000,46.89,4160,-0.01,9
838,0,-1000,48.45,4420,-0.01,8
107,0,-1000,42.99,1520,-0.07,6
107,0,-1000,46.73,1580,-0.07,7
37,0,-1000,43.24,1220,-0.25,6
76,0,-1000,44.74,1620,-0.1,6
9,0,-1000,33.33,1060,-0.67,6
20,0,-1000,40.0,1160,-0.31,7
17,0,-1000,35.29,1120,-0.4,6
31,0,-1000,38.71,1240,-0.27,7
233,0,-1000,46.78,2240,-0.03,8
110,0,-1000,46.36,1340,-0.1,6
171,0,-1000,49.12,2220,-0.05,7
142,0,-1000,45.07,2060,-0.06,6
61,0,-1000,44.26,1300,-0.16,6
32,0,-1000,37.5,1220,-0.27,6
12,0,-1000,33.33,1080,-0.53,6
889,0,-1000,49.04,4520,-0.01,9
8,0,-1000,12.5,1020,-0.79,6
21,0,-1000,33.33,1140,-0.35,7
857,0,-1000,48.77,5260,-0.01,9
12,0,-1000,16.67,1040,-0.54,6
37,0,-1000,43.24,1220,-0.18,7
34,0,-1000,38.24,1080,-0.19,6
13,0,-1000,46.15,1120,-0.48,6
49,0,-1000,48.98,1480,-0.19,7
14,0,-1000,42.86,1120,-0.45,6
378,0,-1000,43.92,2420,-0.02,8
106,0,-1000,45.28,1740,-0.07,7
588,0,-1000,45.58,3740,-0.01,8
254,0,-1000,44.88,1800,-0.03,7
118,0,-1000,48.31,2000,-0.07,8
46,0,-1000,52.17,1160,-0.23,6
11,0,-1000,27.27,1060,-0.58,6
46,0,-1000,39.13,1280,-0.15,7
11,0,-1000,27.27,1060,-0.58,6
67,0,-1000,37.31,1320,-0.12,7
197,0,-1000,45.18,1680,-0.05,8
41,0,-1000,46.34,1380,-0.21,7
57,0,-1000,49.12,1440,-0.13,7
61,0,-1000,40.98,1440,-0.14,6
11,0,-1000,18.18,1040,-0.57,6
161,0,-1000,44.72,1420,-0.06,6
138,0,-1000,42.75,2040,-0.07,7
14,0,-1000,28.57,1080,-0.48,6
491,0,-1000,49.08,2500,-0.02,9
48,0,-1000,27.08,1120,-0.15,6
186,0,-1000,47.85,2000,-0.04,8
