Spins,Final Bankroll,P&L,Win Rate,Max Drawdown,Sharpe,Max Losing Streak
6,0,-1000,0.0,980,-1.1,6
325,0,-1000,49.23,4120,-0.02,8
27,0,-1000,40.74,1220,-0.26,6
191,0,-1000,46.07,2760,-0.04,8
44,0,-1000,34.09,1300,-0.15,7
113,0,-1000,46.02,1820,-0.07,7
63,0,-1000,42.86,1540,-0.13,7
109,0,-1000,44.95,1980,-0.06,7
25,0,-1000,44.0,1220,-0.27,6
285,0,-1000,45.61,3600,-0.02,8
65,0,-1000,52.31,1680,-0.13,7
1000,9160,8160,48.6,2540,0.05,7
154,0,-1000,42.86,2220,-0.04,7
12,0,-1000,33.33,1080,-0.53,6
523,0,-1000,49.33,6020,-0.01,9
92,0,-1000,39.13,1400,-0.07,7
138,0,-1000,52.17,2440,-0.05,7
266,0,-1000,51.88,3540,-0.03,7
19,0,-1000,26.32,1100,-0.37,6
223,0,-1000,45.29,1940,-0.04,6
72,0,-1000,51.39,1740,-0.09,7
127,0,-1000,48.82,2240,-0.06,7
149,0,-1000,48.99,2460,-0.05,7
124,0,-1000,45.16,2120,-0.05,7
1000,7820,6820,46.3,5100,0.03,8
72,0,-1000,43.06,1620,-0.1,7
12,0,-1000,25.0,1060,-0.52,6
259,0,-1000,44.4,2520,-0.02,7
238,0,-1000,51.26,2880,-0.03,7
161,0,-1000,48.45,2020,-0.05,7
37,0,-1000,37.84,1280,-0.19,7
21,0,-1000,47.62,1200,-0.32,6
58,0,-1000,41.38,1480,-0.14,7
8,0,-1000,25.0,1040,-0.76,6
26,0,-1000,42.31,1220,-0.27,6
123,0,-1000,44.72,1480,-0.07,6
24,0,-1000,41.67,1080,-0.26,6
10,0,-1000,20.0,1040,-0.64,6
156,0,-1000,45.51,1520,-0.06,7
11,0,-1000,45.45,1100,-0.55,6
8,0,-1000,12.5,1020,-0.79,6
18,0,-1000,33.33,1120,-0.33,6
39,0,-1000,51.28,1300,-0.16,6
41,0,-1000,43.9,1360,-0.19,7
79,0,-1000,49.37,1780,-0.12,7
452,0,-1000,47.57,4600,-0.01,8
30,0,-1000,50.0,1300,-0.24,7
59,0,-1000,44.07,1520,-0.13,7
82,0,-1000,40.24,1580,-0.1,6
20,0,-1000,45.0,1180,-0.33,6
219,0,-1000,51.14,2700,-0.04,7
62,0,-1000,41.94,1520,-0.13,7
365,0,-1000,46.85,4300,-0.02,8
88,0,-1000,46.59,1500,-0.08,6
123,0,-1000,45.53,2120,-0.06,7
699,0,-1000,47.64,7540,-0.01,9
105,0,-1000,40.0,1060,-0.08,6
395,0,-1000,47.59,3880,-0.01,8
456,0,-1000,50.44,4880,-0.01,8
78,0,-1000,41.03,1640,-0.09,7
70,0,-1000,38.57,1380,-0.12,6
147,0,-1000,44.9,2320,-0.05,7
122,0,-1000,48.36,2120,-0.05,7
14,0,-1000,14.29,1040,-0.41,6
30,0,-1000,36.67,1040,-0.23,6
49,0,-1000,40.82,1400,-0.16,7
143,0,-1000,39.86,1580,-0.05,6
645,0,-1000,47.91,6600,-0.01,8
167,0,-1000,46.71,1820,-0.04,6
16,0,-1000,37.5,1120,-0.42,6
202,0,-1000,53.96,3180,-0.04,8
107,0,-1000,42.99,1760,-0.07,7
289,0,-1000,47.06,1940,-0.03,7
31,0,-1000,29.03,1020,-0.23,6
83,0,-1000,36.14,1340,-0.08,7
149,0,-1000,59.06,2360,-0.05,7
955,0,-1000,49.11,9600,-0.0,9
78,0,-1000,48.72,1360,-0.1,6
117,0,-1000,40.17,1940,-0.05,7
31,0,-1000,38.71,1240,-0.22,6
313,0,-1000,48.56,4040,-0.02,8
68,0,-1000,30.88,1100,-0.1,6
338,0,-1000,46.15,2580,-0.02,8
110,0,-1000,47.27,2040,-0.06,7
6,0,-1000,0.0,980,-1.1,6
340,0,-1000,44.12,4000,-0.02,8
69,0,-1000,43.48,1600,-0.12,7
147,0,-1000,44.9,1880,-0.04,7
39,0,-1000,38.46,1300,-0.17,7
81,0,-1000,45.68,1620,-0.09,7
475,0,-1000,49.26,5440,-0.01,8
133,0,-1000,46.62,2240,-0.06,7
389,0,-1000,51.93,4280,-0.02,8
6,0,-1000,0.0,980,-1.1,6
61,0,-1000,45.9,1420,-0.1,7
31,0,-1000,38.71,1240,-0.23,6
55,0,-1000,54.55,1600,-0.16,7
77,0,-1000,49.35,1760,-0.1,7
1000,10480,9480,49.2,2540,0.05,7
77,0,-1000,46.75,1620,-0.11,6
