Spins,Final Bankroll,P&L,Win Rate,Max Drawdown,Sharpe,Max Losing Streak
111,0,-1000,48.65,1300,-0.11,5
82,0,-1000,39.02,1040,-0.27,6
151,0,-1000,45.7,1600,-0.07,9
93,0,-1000,46.24,1020,-0.16,5
110,0,-1000,48.18,1020,-0.1,7
104,0,-1000,51.92,1100,-0.15,5
274,0,-1000,49.27,2520,-0.04,6
88,0,-1000,43.18,1060,-0.25,7
1000,240,-760,47.9,4080,-0.01,8
171,0,-1000,54.39,1280,-0.05,6
271,0,-1000,50.18,1980,-0.03,5
122,0,-1000,47.54,1320,-0.08,7
1000,600,-400,47.0,3100,-0.0,15
90,0,-1000,44.44,980,-0.16,5
104,0,-1000,45.19,1080,-0.11,7
849,0,-1000,49.71,5940,-0.01,8
985,0,-1000,49.44,4320,-0.01,10
109,0,-1000,47.71,1200,-0.1,6
94,0,-1000,39.36,1060,-0.13,6
94,0,-1000,46.81,1080,-0.15,5
283,0,-1000,42.05,3580,-0.04,8
281,0,-1000,45.55,2180,-0.03,7
136,0,-1000,52.94,1580,-0.07,5
109,0,-1000,41.28,1020,-0.1,7
123,0,-1000,53.66,1080,-0.08,4
310,0,-1000,48.39,2740,-0.03,5
857,0,-1000,49.82,3940,-0.01,9
106,0,-1000,52.83,1140,-0.12,5
244,0,-1000,50.41,1920,-0.04,7
141,0,-1000,49.65,1380,-0.07,5
350,0,-1000,44.0,2540,-0.03,7
111,0,-1000,48.65,1180,-0.1,7
827,0,-1000,45.34,3900,-0.01,8
83,0,-1000,39.76,1240,-0.18,7
98,0,-1000,48.98,1020,-0.18,5
1000,680,-320,48.0,3520,-0.0,8
94,0,-1000,46.81,1200,-0.17,5
607,0,-1000,48.43,3620,-0.01,11
208,0,-1000,45.19,1880,-0.05,10
108,0,-1000,47.22,1140,-0.11,4
81,0,-1000,38.27,1120,-0.23,9
188,0,-1000,52.66,1280,-0.05,5
394,0,-1000,46.7,2240,-0.02,11
421,0,-1000,52.73,2480,-0.02,6
81,0,-1000,38.27,1100,-0.27,7
757,0,-1000,45.44,3640,-0.01,9
801,0,-1000,48.06,4060,-0.01,7
118,0,-1000,45.76,1460,-0.09,6
116,0,-1000,50.86,1240,-0.09,5
1000,860,-140,48.0,3260,-0.0,9
103,0,-1000,44.66,1040,-0.11,6
118,0,-1000,45.76,1320,-0.08,10
102,0,-1000,50.98,1100,-0.12,6
808,0,-1000,48.89,5180,-0.01,7
158,0,-1000,48.1,1400,-0.06,6
99,0,-1000,49.49,980,-0.12,4
141,0,-1000,49.65,1600,-0.06,6
125,0,-1000,43.2,1600,-0.08,8
90,0,-1000,44.44,1140,-0.16,7
90,0,-1000,44.44,1020,-0.16,10
93,0,-1000,46.24,1140,-0.15,5
83,0,-1000,39.76,1040,-0.17,8
101,0,-1000,43.56,1420,-0.13,5
415,0,-1000,45.06,3660,-0.02,7
103,0,-1000,44.66,1120,-0.11,7
239,0,-1000,49.37,1620,-0.04,9
89,0,-1000,43.82,1040,-0.18,9
113,0,-1000,43.36,1340,-0.09,6
100,0,-1000,50.0,1160,-0.12,6
181,0,-1000,50.83,1280,-0.05,5
150,0,-1000,45.33,1240,-0.07,8
88,0,-1000,43.18,1060,-0.23,6
151,0,-1000,45.7,1920,-0.08,7
208,0,-1000,48.56,2000,-0.06,6
491,0,-1000,47.86,2680,-0.02,9
399,0,-1000,45.61,3200,-0.02,7
83,0,-1000,39.76,1000,-0.21,7
250,0,-1000,44.4,2540,-0.04,6
1000,3320,2320,49.7,5340,0.02,8
99,0,-1000,49.49,1080,-0.13,5
128,0,-1000,35.94,1240,-0.1,6
139,0,-1000,41.01,1540,-0.08,6
165,0,-1000,46.06,1860,-0.06,5
75,0,-1000,33.33,980,-0.4,8
341,0,-1000,47.8,2860,-0.03,6
104,0,-1000,45.19,1440,-0.12,7
117,0,-1000,51.28,1140,-0.1,4
92,0,-1000,45.65,1120,-0.16,7
313,0,-1000,47.6,2620,-0.03,6
94,0,-1000,46.81,1060,-0.17,6
82,0,-1000,39.02,1100,-0.28,9
168,0,-1000,47.02,1380,-0.06,9
105,0,-1000,45.71,1300,-0.11,5
293,0,-1000,47.78,2220,-0.03,6
174,0,-1000,44.83,2040,-0.06,5
101,0,-1000,43.56,980,-0.12,10
100,0,-1000,43.0,1220,-0.11,8
265,0,-1000,51.7,1740,-0.03,6
315,0,-1000,51.43,1820,-0.03,8
217,0,-1000,47.47,2580,-0.05,11
