Spins,Final Bankroll,P&L,Win Rate,Max Drawdown,Sharpe,Max Losing Streak
101,0,-1000,50.5,1600,-0.09,6
84,0,-1000,40.48,1080,-0.26,6
95,0,-1000,47.37,1280,-0.15,7
91,0,-1000,45.05,1020,-0.12,6
71,0,-1000,29.58,1040,-0.45,9
96,0,-1000,47.92,11040,-0.01,7
95,0,-1000,47.37,1860,-0.06,8
102,0,-1000,50.98,1540,-0.09,4
87,0,-1000,42.53,1400,-0.1,6
89,0,-1000,43.82,1000,-0.17,6
102,0,-1000,50.98,5340,-0.02,5
80,0,-1000,37.5,1300,-0.18,6
96,0,-1000,47.92,1140,-0.09,8
104,0,-1000,51.92,3400,-0.03,7
99,0,-1000,49.49,1400,-0.11,8
102,0,-1000,50.98,3120,-0.03,5
91,0,-1000,45.05,1500,-0.1,5
87,0,-1000,42.53,1500,-0.1,6
97,0,-1000,48.45,10960,-0.01,8
87,0,-1000,42.53,1920,-0.07,6
87,0,-1000,42.53,1040,-0.26,6
79,0,-1000,36.71,1180,-0.23,6
92,0,-1000,45.65,1500,-0.12,5
105,0,-1000,52.38,1320,-0.1,4
93,0,-1000,46.24,1020,-0.18,6
97,0,-1000,48.45,2220,-0.06,9
91,0,-1000,45.05,1840,-0.06,4
88,0,-1000,43.18,2260,-0.07,6
87,0,-1000,42.53,1020,-0.12,11
81,0,-1000,38.27,1040,-0.21,6
88,0,-1000,43.18,1620,-0.06,7
107,0,-1000,53.27,2120,-0.05,4
102,0,-1000,50.98,1680,-0.06,6
93,0,-1000,46.24,3280,-0.03,7
95,0,-1000,47.37,1940,-0.06,6
119,0,-1000,57.98,10880,-0.01,6
97,0,-1000,48.45,1020,-0.15,4
109,0,-1000,54.13,3280,-0.03,7
112,0,-1000,55.36,1580,-0.05,8
95,0,-1000,47.37,5820,-0.02,5
83,0,-1000,39.76,1020,-0.22,7
96,0,-1000,47.92,1980,-0.06,5
85,0,-1000,41.18,1400,-0.07,6
100,0,-1000,50.0,1180,-0.09,5
97,0,-1000,48.45,1960,-0.06,5
112,0,-1000,55.36,10720,-0.01,5
105,0,-1000,52.38,11020,-0.01,6
104,0,-1000,51.92,1620,-0.05,6
88,0,-1000,43.18,1000,-0.21,6
86,0,-1000,41.86,1240,-0.17,8
84,0,-1000,40.48,5500,-0.02,7
96,0,-1000,47.92,1080,-0.09,7
93,0,-1000,46.24,1580,-0.07,7
107,0,-1000,53.27,1140,-0.08,4
79,0,-1000,36.71,1440,-0.13,7
90,0,-1000,44.44,1540,-0.12,7
84,0,-1000,40.48,1320,-0.13,7
80,0,-1000,37.5,1300,-0.18,9
104,0,-1000,51.92,1360,-0.08,4
100,0,-1000,50.0,3340,-0.03,5
92,0,-1000,45.65,5780,-0.02,5
74,0,-1000,32.43,1020,-0.43,8
90,0,-1000,44.44,1100,-0.14,7
108,0,-1000,53.7,2620,-0.03,5
96,0,-1000,47.92,3180,-0.03,9
81,0,-1000,38.27,980,-0.18,6
106,0,-1000,52.83,1140,-0.09,8
79,0,-1000,36.71,980,-0.28,7
87,0,-1000,42.53,1040,-0.12,7
97,0,-1000,48.45,1400,-0.08,7
94,0,-1000,46.81,1280,-0.15,4
83,0,-1000,39.76,1040,-0.28,5
85,0,-1000,41.18,980,-0.2,9
114,0,-1000,56.14,10640,-0.01,6
111,0,-1000,54.95,5860,-0.02,9
104,0,-1000,51.92,1380,-0.08,6
100,0,-1000,50.0,1380,-0.1,7
104,0,-1000,51.92,2960,-0.03,6
99,0,-1000,49.49,1620,-0.08,6
98,0,-1000,48.98,1020,-0.16,6
93,0,-1000,46.24,2200,-0.06,9
114,0,-1000,56.14,3280,-0.03,4
100,0,-1000,50.0,21280,-0.0,10
112,0,-1000,55.36,1440,-0.06,5
99,0,-1000,49.49,1520,-0.1,5
91,0,-1000,45.05,1020,-0.18,7
106,0,-1000,52.83,2800,-0.03,7
95,0,-1000,47.37,1420,-0.09,9
93,0,-1000,46.24,1260,-0.11,5
78,0,-1000,35.9,1000,-0.29,7
87,0,-1000,42.53,980,-0.2,7
84,0,-1000,40.48,1100,-0.17,15
94,0,-1000,46.81,6060,-0.02,5
91,0,-1000,45.05,2180,-0.05,6
98,0,-1000,48.98,1100,-0.15,5
103,0,-1000,51.46,1820,-0.05,6
101,0,-1000,50.5,1080,-0.12,8
93,0,-1000,46.24,1580,-0.12,6
101,0,-1000,50.5,1000,-0.17,4
86,0,-1000,41.86,1040,-0.22,7
