round,outcome,bet_type,bet_target,amount,win,payout,bankroll
1,18,red,red,20,True,20,1020
2,2,red,red,20,False,-20,1000
3,4,red,red,20,False,-20,980
4,26,red,red,20,False,-20,960
5,2,red,red,20,False,-20,940
6,1,red,red,20,True,20,960
7,10,red,red,20,False,-20,940
8,29,red,red,20,False,-20,920
9,17,red,red,20,False,-20,900
10,15,red,red,20,False,-20,880
11,36,red,red,20,True,20,900
12,24,red,red,20,False,-20,880
13,35,red,red,20,False,-20,860
14,16,red,red,20,True,20,880
15,22,red,red,20,False,-20,860
16,0,red,red,20,False,-20,840
17,19,red,red,20,True,20,860
18,8,red,red,20,False,-20,840
19,0,red,red,20,False,-20,820
20,16,red,red,20,True,20,840
21,7,red,red,20,True,20,860
22,17,red,red,20,False,-20,840
23,27,red,red,20,True,20,860
24,24,red,red,20,False,-20,840
25,1,red,red,20,True,20,860
26,2,red,red,20,False,-20,840
27,7,red,red,20,True,20,860
28,29,red,red,20,False,-20,840
29,29,red,red,20,False,-20,820
30,23,red,red,20,True,20,840
31,15,red,red,20,False,-20,820
32,34,red,red,20,True,20,840
33,30,red,red,20,True,20,860
34,4,red,red,20,False,-20,840
35,27,red,red,20,True,20,860
36,35,red,red,20,False,-20,840
37,25,red,red,20,True,20,860
38,18,red,red,20,True,20,880
39,7,red,red,20,True,20,900
40,20,red,red,20,False,-20,880
41,10,red,red,20,False,-20,860
42,31,red,red,20,False,-20,840
43,18,red,red,20,True,20,860
44,17,red,red,20,False,-20,840
45,3,red,red,20,True,20,860
46,31,red,red,20,False,-20,840
47,28,red,red,20,False,-20,820
48,25,red,red,20,True,20,840
49,36,red,red,20,True,20,860
50,22,red,red,20,False,-20,840
51,28,red,red,20,False,-20,820
52,0,red,red,20,False,-20,800
53,10,red,red,20,False,-20,780
54,00,red,red,20,False,-20,760
55,33,red,red,20,False,-20,740
56,32,red,red,20,True,20,760
57,4,red,red,20,False,-20,740
58,8,red,red,20,False,-20,720
59,35,red,red,20,False,-20,700
60,28,red,red,20,False,-20,680
61,15,red,red,20,False,-20,660
62,2,red,red,20,False,-20,640
63,24,red,red,20,False,-20,620
64,6,red,red,20,False,-20,600
65,36,red,red,20,True,20,620
66,18,red,red,20,True,20,640
67,11,red,red,20,False,-20,620
68,9,red,red,20,True,20,640
69,24,red,red,20,False,-20,620
70,1,red,red,20,True,20,640
71,17,red,red,20,False,-20,620
72,0,red,red,20,False,-20,600
73,24,red,red,20,False,-20,580
74,3,red,red,20,True,20,600
75,29,red,red,20,False,-20,580
76,18,red,red,20,True,20,600
77,26,red,red,20,False,-20,580
78,5,red,red,20,True,20,600
79,7,red,red,20,True,20,620
80,16,red,red,20,True,20,640
81,35,red,red,20,False,-20,620
82,36,red,red,20,True,20,640
83,25,red,red,20,True,20,660
84,28,red,red,20,False,-20,640
85,00,red,red,20,False,-20,620
86,25,red,red,20,True,20,640
87,16,red,red,20,True,20,660
88,00,red,red,20,False,-20,640
89,15,red,red,20,False,-20,620
90,00,red,red,20,False,-20,600
91,00,red,red,20,False,-20,580
92,10,red,red,20,False,-20,560
93,32,red,red,20,True,20,580
94,36,red,red,20,True,20,600
95,29,red,red,20,False,-20,580
96,10,red,red,20,False,-20,560
97,1,red,red,20,True,20,580
98,25,red,red,20,True,20,600
99,1,red,red,20,True,20,620
100,30,red,red,20,True,20,640
101,5,red,red,20,True,20,660
102,36,red,red,20,True,20,680
103,2,red,red,20,False,-20,660
104,29,red,red,20,False,-20,640
105,21,red,red,20,True,20,660
106,31,red,red,20,False,-20,640
107,8,red,red,20,False,-20,620
108,36,red,red,20,True,20,640
109,20,red,red,20,False,-20,620
110,1,red,red,20,True,20,640
111,10,red,red,20,False,-20,620
112,31,red,red,20,False,-20,600
113,32,red,red,20,True,20,620
114,11,red,red,20,False,-20,600
115,32,red,red,20,True,20,620
116,20,red,red,20,False,-20,600
117,30,red,red,20,True,20,620
118,14,red,red,20,True,20,640
119,6,red,red,20,False,-20,620
120,18,red,red,20,True,20,640
121,7,red,red,20,True,20,660
122,3,red,red,20,True,20,680
123,29,red,red,20,False,-20,660
124,35,red,red,20,False,-20,640
125,27,red,red,20,True,20,660
126,7,red,red,20,True,20,680
127,8,red,red,20,False,-20,660
128,22,red,red,20,False,-20,640
129,3,red,red,20,True,20,660
130,00,red,red,20,False,-20,640
131,27,red,red,20,True,20,660
132,12,red,red,20,True,20,680
133,13,red,red,20,False,-20,660
134,22,red,red,20,False,-20,640
135,12,red,red,20,True,20,660
136,30,red,red,20,True,20,680
137,24,red,red,20,False,-20,660
138,9,red,red,20,True,20,680
139,24,red,red,20,False,-20,660
140,26,red,red,20,False,-20,640
141,17,red,red,20,False,-20,620
142,4,red,red,20,False,-20,600
143,10,red,red,20,False,-20,580
144,33,red,red,20,False,-20,560
145,35,red,red,20,False,-20,540
146,0,red,red,20,False,-20,520
147,12,red,red,20,True,20,540
148,34,red,red,20,True,20,560
149,34,red,red,20,True,20,580
150,30,red,red,20,True,20,600
151,28,red,red,20,False,-20,580
152,31,red,red,20,False,-20,560
153,11,red,red,20,False,-20,540
154,12,red,red,20,True,20,560
155,34,red,red,20,True,20,580
156,31,red,red,20,False,-20,560
157,15,red,red,20,False,-20,540
158,00,red,red,20,False,-20,520
159,26,red,red,20,False,-20,500
160,30,red,red,20,True,20,520
161,34,red,red,20,True,20,540
162,3,red,red,20,True,20,560
163,5,red,red,20,True,20,580
164,3,red,red,20,True,20,600
165,8,red,red,20,False,-20,580
166,27,red,red,20,True,20,600
167,21,red,red,20,True,20,620
168,28,red,red,20,False,-20,600
169,20,red,red,20,False,-20,580
170,23,red,red,20,True,20,600
171,32,red,red,20,True,20,620
172,18,red,red,20,True,20,640
173,33,red,red,20,False,-20,620
174,16,red,red,20,True,20,640
175,11,red,red,20,False,-20,620
176,6,red,red,20,False,-20,600
177,14,red,red,20,True,20,620
